START
config	480	960
batch	0	valid_loss	7317421.0625
batch	30	valid_loss	206273.333984
batch	60	valid_loss	105013.376953
batch	90	valid_loss	98106.9111328
batch	120	valid_loss	95308.0957031
batch	150	valid_loss	92675.4692383
batch	180	valid_loss	89863.3916016
batch	210	valid_loss	87124.3125
batch	240	valid_loss	84559.0532227
batch	270	valid_loss	82241.0058594
batch	300	valid_loss	80175.5839844
batch	330	valid_loss	78195.2001953
batch	360	valid_loss	76278.6850586
batch	390	valid_loss	74565.9414062
batch	420	valid_loss	72912.8554688
batch	450	valid_loss	71231.8671875
batch	480	valid_loss	69595.2207031
batch	510	valid_loss	68106.4418945
batch	540	valid_loss	66569.6621094
batch	570	valid_loss	65126.2924805
batch	600	valid_loss	63754.5561523
batch	630	valid_loss	62373.6845703
batch	660	valid_loss	61000.4814453
batch	690	valid_loss	59629.8618164
batch	720	valid_loss	58444.1958008
batch	750	valid_loss	57263.8071289
batch	780	valid_loss	56157.4448242
batch	810	valid_loss	55039.3056641
batch	840	valid_loss	53993.8579102
batch	870	valid_loss	52974.4384766
batch	900	valid_loss	52124.6157227
batch	930	valid_loss	51028.347168
batch	960	valid_loss	50163.4941406
batch	990	valid_loss	49287.7314453
batch	1020	valid_loss	48341.3369141
batch	1050	valid_loss	47690.7104492
batch	1080	valid_loss	46918.875
batch	1110	valid_loss	46107.7641602
batch	1140	valid_loss	45516.7319336
batch	1170	valid_loss	44833.126709
batch	1200	valid_loss	44235.0881348
batch	1230	valid_loss	43701.0234375
batch	1260	valid_loss	43059.9345703
batch	1290	valid_loss	42387.7385254
batch	1320	valid_loss	41802.3310547
batch	1350	valid_loss	41405.423584
batch	1380	valid_loss	40940.5314941
batch	1410	valid_loss	40473.5388184
batch	1440	valid_loss	39959.7412109
batch	1470	valid_loss	39557.4450684
batch	1500	valid_loss	39177.057373
batch	1530	valid_loss	38858.7785645
batch	1560	valid_loss	38321.1062012
batch	1590	valid_loss	38013.8063965
batch	1620	valid_loss	37548.3322754
batch	1650	valid_loss	37431.6621094
batch	1680	valid_loss	37024.494873
batch	1710	valid_loss	36610.6040039
batch	1740	valid_loss	36416.8671875
batch	1770	valid_loss	36119.1640625
batch	1800	valid_loss	35864.6098633
batch	1830	valid_loss	35619.8178711
batch	1860	valid_loss	35491.6022949
batch	1890	valid_loss	35144.5070801
batch	1920	valid_loss	34718.5231934
batch	1950	valid_loss	34546.3623047
batch	1980	valid_loss	34346.9157715
batch	2010	valid_loss	34100.9838867
batch	2040	valid_loss	34001.607666
batch	2070	valid_loss	33677.8654785
batch	2100	valid_loss	33551.1738281
batch	2130	valid_loss	33304.9709473
batch	2160	valid_loss	33246.0517578
batch	2190	valid_loss	33140.6169434
batch	2220	valid_loss	32773.7121582
batch	2250	valid_loss	32633.5532227
batch	2280	valid_loss	32611.2836914
batch	2310	valid_loss	32320.2312012
batch	2340	valid_loss	32138.7797852
batch	2370	valid_loss	32045.0275879
batch	2400	valid_loss	31985.526123
batch	2430	valid_loss	31860.6218262
batch	2460	valid_loss	31886.8300781
batch	2490	valid_loss	31645.0996094
batch	2520	valid_loss	31440.0317383
batch	2550	valid_loss	31265.6638184
batch	2580	valid_loss	31167.4072266
batch	2610	valid_loss	31211.4267578
batch	2640	valid_loss	31008.590332
batch	2670	valid_loss	30957.251709
