START
config	120	960
batch	0	valid_loss	7984928.9375
batch	30	valid_loss	323079.849609
batch	60	valid_loss	130306.814453
batch	90	valid_loss	121180.992188
batch	120	valid_loss	120048.09082
batch	150	valid_loss	119141.007812
batch	180	valid_loss	118127.274414
batch	210	valid_loss	116956.661133
batch	240	valid_loss	115576.544922
batch	270	valid_loss	114111.068359
batch	300	valid_loss	112620.433594
batch	330	valid_loss	111269.542969
batch	360	valid_loss	110021.456055
batch	390	valid_loss	108878.056641
batch	420	valid_loss	107852.878906
batch	450	valid_loss	106819.526367
batch	480	valid_loss	105892.050781
batch	510	valid_loss	104885.021484
batch	540	valid_loss	103975.40332
batch	570	valid_loss	103106.076172
batch	600	valid_loss	102167.380859
batch	630	valid_loss	101266.506836
batch	660	valid_loss	100357.452148
batch	690	valid_loss	99480.265625
batch	720	valid_loss	98672.5478516
batch	750	valid_loss	97767.3496094
batch	780	valid_loss	96976.3164062
batch	810	valid_loss	96156.3330078
batch	840	valid_loss	95263.46875
batch	870	valid_loss	94523.9033203
batch	900	valid_loss	93720.1259766
batch	930	valid_loss	92973.4648438
batch	960	valid_loss	92204.5317383
batch	990	valid_loss	91467.2841797
batch	1020	valid_loss	90741.9091797
batch	1050	valid_loss	90082.1884766
batch	1080	valid_loss	89327.6889648
batch	1110	valid_loss	88687.0219727
batch	1140	valid_loss	87996.78125
batch	1170	valid_loss	87358.0693359
batch	1200	valid_loss	86716.4150391
batch	1230	valid_loss	86125.8237305
batch	1260	valid_loss	85551.3422852
batch	1290	valid_loss	84935.6958008
batch	1320	valid_loss	84358.9677734
batch	1350	valid_loss	83840.1557617
batch	1380	valid_loss	83235.7719727
batch	1410	valid_loss	82697.715332
batch	1440	valid_loss	82178.2856445
batch	1470	valid_loss	81656.4238281
batch	1500	valid_loss	81143.0932617
batch	1530	valid_loss	80663.9775391
batch	1560	valid_loss	80215.8735352
batch	1590	valid_loss	79721.921875
batch	1620	valid_loss	79237.2358398
batch	1650	valid_loss	78821.7895508
batch	1680	valid_loss	78342.6977539
batch	1710	valid_loss	77876.4887695
batch	1740	valid_loss	77461.8237305
batch	1770	valid_loss	77054.7705078
batch	1800	valid_loss	76641.7490234
batch	1830	valid_loss	76209.3779297
batch	1860	valid_loss	75825.8364258
batch	1890	valid_loss	75404.5839844
batch	1920	valid_loss	75020.6704102
batch	1950	valid_loss	74622.6557617
batch	1980	valid_loss	74277.262207
batch	2010	valid_loss	73845.1074219
batch	2040	valid_loss	73444.8476562
batch	2070	valid_loss	73130.9970703
batch	2100	valid_loss	72759.4770508
batch	2130	valid_loss	72467.1088867
batch	2160	valid_loss	72086.9589844
batch	2190	valid_loss	71730.8891602
batch	2220	valid_loss	71445.8496094
batch	2250	valid_loss	71064.4863281
batch	2280	valid_loss	70775.503418
batch	2310	valid_loss	70466.9716797
batch	2340	valid_loss	70117.6074219
batch	2370	valid_loss	69797.1992188
batch	2400	valid_loss	69543.2075195
batch	2430	valid_loss	69277.0966797
batch	2460	valid_loss	68938.1967773
batch	2490	valid_loss	68684.9897461
batch	2520	valid_loss	68416.4165039
batch	2550	valid_loss	68152.7480469
batch	2580	valid_loss	67875.6513672
batch	2610	valid_loss	67602.9521484
batch	2640	valid_loss	67310.6660156
batch	2670	valid_loss	67060.7294922
batch	2700	valid_loss	66844.9599609
