START
config	100	960
batch	0	valid_loss	177549.938477
batch	20	valid_loss	102704.550781
batch	40	valid_loss	98161.7197266
batch	60	valid_loss	93779.5527344
batch	80	valid_loss	90758.5205078
batch	100	valid_loss	88612.9501953
batch	120	valid_loss	86400.8037109
batch	140	valid_loss	84058.8417969
batch	160	valid_loss	81663.6972656
batch	180	valid_loss	79266.1079102
batch	200	valid_loss	76828.0634766
batch	220	valid_loss	74416.4824219
batch	240	valid_loss	71898.0405273
batch	260	valid_loss	69606.7661133
batch	280	valid_loss	67288.2519531
batch	300	valid_loss	65109.168457
batch	320	valid_loss	63196.4760742
batch	340	valid_loss	61382.3803711
batch	360	valid_loss	59762.6704102
batch	380	valid_loss	58193.1972656
batch	400	valid_loss	56826.9907227
batch	420	valid_loss	55588.8354492
batch	440	valid_loss	54437.1884766
batch	460	valid_loss	53482.2578125
batch	480	valid_loss	52666.3540039
batch	500	valid_loss	51949.9477539
batch	520	valid_loss	51306.8891602
batch	540	valid_loss	50738.1118164
batch	560	valid_loss	50239.0766602
batch	580	valid_loss	49868.9863281
batch	600	valid_loss	49450.5224609
batch	620	valid_loss	49107.2954102
batch	640	valid_loss	48924.706543
batch	660	valid_loss	48759.840332
batch	680	valid_loss	48593.8842773
batch	700	valid_loss	48374.7402344
batch	720	valid_loss	48311.4677734
batch	740	valid_loss	48184.6918945
batch	760	valid_loss	48040.1577148
batch	780	valid_loss	48062.1474609
batch	800	valid_loss	48105.3925781
batch	820	valid_loss	48075.0258789
batch	840	valid_loss	48041.0800781
batch	860	valid_loss	47988.0649414
batch	880	valid_loss	47986.8383789
batch	900	valid_loss	47948.8999023
batch	920	valid_loss	47856.9643555
batch	940	valid_loss	47796.7207031
batch	960	valid_loss	47878.9506836
batch	980	valid_loss	47904.1474609
batch	1000	valid_loss	47830.9301758
batch	1020	valid_loss	47774.2456055
batch	1040	valid_loss	47805.0942383
batch	1060	valid_loss	47722.0874023
batch	1080	valid_loss	47732.496582
batch	1100	valid_loss	47831.6015625
batch	1120	valid_loss	47868.8266602
batch	1140	valid_loss	47805.6083984
batch	1160	valid_loss	47833.9379883
batch	1180	valid_loss	47803.8842773
batch	1200	valid_loss	47824.3886719
batch	1220	valid_loss	47787.3378906
batch	1240	valid_loss	47680.6660156
batch	1260	valid_loss	47744.7763672
batch	1280	valid_loss	47806.0712891
batch	1300	valid_loss	47774.3754883
batch	1320	valid_loss	47729.5629883
batch	1340	valid_loss	47738.7456055
batch	1360	valid_loss	47738.0546875
batch	1380	valid_loss	47665.4345703
batch	1400	valid_loss	47710.8852539
batch	1420	valid_loss	47844.5493164
batch	1440	valid_loss	47831.0224609
batch	1460	valid_loss	47794.9116211
batch	1480	valid_loss	47825.3706055
batch	1500	valid_loss	47801.6831055
batch	1520	valid_loss	47817.0136719
batch	1540	valid_loss	47748.3549805
batch	1560	valid_loss	47707.7353516
batch	1580	valid_loss	47783.4892578
batch	1600	valid_loss	47823.4599609
batch	1620	valid_loss	47775.9165039
batch	1640	valid_loss	47708.3945312
batch	1660	valid_loss	47786.0507812
batch	1680	valid_loss	47689.4487305
batch	1700	valid_loss	47673.0810547
batch	1720	valid_loss	47807.2275391
batch	1740	valid_loss	47865.8916016
batch	1760	valid_loss	47815.3051758
batch	1780	valid_loss	47857.9638672
batch	1800	valid_loss	47810.6196289
batch	1820	valid_loss	47809.1621094
batch	1840	valid_loss	47777.1381836
batch	1860	valid_loss	47716.1098633
batch	1880	valid_loss	47734.2680664
batch	1900	valid_loss	47846.2954102
batch	1920	valid_loss	47801.484375
batch	1940	valid_loss	47745.0874023
batch	1960	valid_loss	47764.6103516
batch	1980	valid_loss	47779.4624023
batch	2000	valid_loss	47686.6357422
batch	2020	valid_loss	47724.8227539
batch	2040	valid_loss	47871.0893555
batch	2060	valid_loss	47857.8725586
batch	2080	valid_loss	47787.3183594
batch	2100	valid_loss	47887.8017578
