START
config	180	1140
batch	0	valid_loss	9866544.0625
batch	30	valid_loss	287943.462891
batch	60	valid_loss	125638.797852
batch	90	valid_loss	117289.030273
batch	120	valid_loss	115834.584961
batch	150	valid_loss	114636.652344
batch	180	valid_loss	113329.462891
batch	210	valid_loss	111898.665039
batch	240	valid_loss	110313.491211
batch	270	valid_loss	108589.438477
batch	300	valid_loss	106734.196289
batch	330	valid_loss	104826.954102
batch	360	valid_loss	102902.589844
batch	390	valid_loss	101106.595703
batch	420	valid_loss	99409.28125
batch	450	valid_loss	97840.6611328
batch	480	valid_loss	96382.7314453
batch	510	valid_loss	95006.0654297
batch	540	valid_loss	93592.2211914
batch	570	valid_loss	92280.4155273
batch	600	valid_loss	91014.6245117
batch	630	valid_loss	89694.003418
batch	660	valid_loss	88396.8085938
batch	690	valid_loss	87061.0810547
batch	720	valid_loss	85795.3759766
batch	750	valid_loss	84483.7875977
batch	780	valid_loss	83204.1630859
batch	810	valid_loss	81944.2558594
batch	840	valid_loss	80650.4794922
batch	870	valid_loss	79390.1376953
batch	900	valid_loss	78166.3125
batch	930	valid_loss	76940.4311523
batch	960	valid_loss	75748.6503906
batch	990	valid_loss	74574.4418945
batch	1020	valid_loss	73440.453125
batch	1050	valid_loss	72336.1132812
batch	1080	valid_loss	71261.1494141
batch	1110	valid_loss	70199.7817383
batch	1140	valid_loss	69160.8583984
batch	1170	valid_loss	68148.8251953
batch	1200	valid_loss	67195.0175781
batch	1230	valid_loss	66272.9296875
batch	1260	valid_loss	65344.8300781
batch	1290	valid_loss	64417.1992188
batch	1320	valid_loss	63568.0791016
batch	1350	valid_loss	62735.4169922
batch	1380	valid_loss	61918.3134766
batch	1410	valid_loss	61137.112793
batch	1440	valid_loss	60352.375
batch	1470	valid_loss	59586.8813477
batch	1500	valid_loss	58852.6269531
batch	1530	valid_loss	58147.1982422
batch	1560	valid_loss	57455.6850586
batch	1590	valid_loss	56750.1523438
batch	1620	valid_loss	56106.5712891
batch	1650	valid_loss	55480.878418
batch	1680	valid_loss	54838.3442383
batch	1710	valid_loss	54226.6821289
batch	1740	valid_loss	53625.3046875
batch	1770	valid_loss	53032.5336914
batch	1800	valid_loss	52443.9555664
batch	1830	valid_loss	51921.949707
batch	1860	valid_loss	51388.0742188
batch	1890	valid_loss	50828.6821289
batch	1920	valid_loss	50315.3305664
batch	1950	valid_loss	49772.1376953
batch	1980	valid_loss	49307.0268555
batch	2010	valid_loss	48822.8623047
batch	2040	valid_loss	48338.6953125
batch	2070	valid_loss	47901.1289062
batch	2100	valid_loss	47434.4106445
batch	2130	valid_loss	47029.723877
batch	2160	valid_loss	46594.0349121
batch	2190	valid_loss	46196.4980469
batch	2220	valid_loss	45787.0334473
batch	2250	valid_loss	45396.4802246
batch	2280	valid_loss	44986.7802734
batch	2310	valid_loss	44611.2861328
batch	2340	valid_loss	44262.8005371
batch	2370	valid_loss	43911.5612793
batch	2400	valid_loss	43518.869873
batch	2430	valid_loss	43198.3586426
batch	2460	valid_loss	42895.1748047
batch	2490	valid_loss	42573.0053711
batch	2520	valid_loss	42277.1704102
batch	2550	valid_loss	41940.0915527
batch	2580	valid_loss	41604.8820801
batch	2610	valid_loss	41333.8759766
batch	2640	valid_loss	41062.1867676
batch	2670	valid_loss	40786.8657227
batch	2700	valid_loss	40526.7404785
batch	2730	valid_loss	40272.2687988
batch	2760	valid_loss	39999.9001465
batch	2790	valid_loss	39779.456543
batch	2820	valid_loss	39549.3774414
batch	2850	valid_loss	39278.265625
batch	2880	valid_loss	39035.7626953
batch	2910	valid_loss	38832.2143555
batch	2940	valid_loss	38612.3911133
batch	2970	valid_loss	38400.8195801
batch	3000	valid_loss	38212.6914062
batch	3030	valid_loss	37969.3051758
batch	3060	valid_loss	37781.3518066
batch	3090	valid_loss	37610.4665527
batch	3120	valid_loss	37420.5888672
batch	3150	valid_loss	37281.2651367
batch	3180	valid_loss	37103.8796387
batch	3210	valid_loss	36918.2370605
batch	3240	valid_loss	36757.2954102
batch	3270	valid_loss	36580.4694824
batch	3300	valid_loss	36461.8081055
batch	3330	valid_loss	36282.9519043
batch	3360	valid_loss	36117.2275391
batch	3390	valid_loss	35961.0671387
batch	3420	valid_loss	35883.2768555
batch	3450	valid_loss	35736.5224609
batch	3480	valid_loss	35564.4912109
batch	3510	valid_loss	35435.9365234
batch	3540	valid_loss	35339.8242188
batch	3570	valid_loss	35202.1252441
batch	3600	valid_loss	35062.8447266
batch	3630	valid_loss	34977.1464844
batch	3660	valid_loss	34846.4133301
batch	3690	valid_loss	34753.8217773
batch	3720	valid_loss	34647.9870605
batch	3750	valid_loss	34542.0786133
batch	3780	valid_loss	34430.8046875
batch	3810	valid_loss	34353.3959961
batch	3840	valid_loss	34239.6030273
batch	3870	valid_loss	34136.4003906
batch	3900	valid_loss	34066.4399414
batch	3930	valid_loss	34006.4111328
batch	3960	valid_loss	33860.0302734
batch	3990	valid_loss	33797.7832031
batch	4020	valid_loss	33727.5827637
batch	4050	valid_loss	33675.7412109
batch	4080	valid_loss	33589.4921875
batch	4110	valid_loss	33519.3190918
batch	4140	valid_loss	33429.3432617
batch	4170	valid_loss	33342.6306152
batch	4200	valid_loss	33298.2412109
batch	4230	valid_loss	33233.0415039
batch	4260	valid_loss	33188.7600098
batch	4290	valid_loss	33108.0478516
batch	4320	valid_loss	33044.2397461
batch	4350	valid_loss	33005.4360352
batch	4380	valid_loss	32958.984375
batch	4410	valid_loss	32872.682373
batch	4440	valid_loss	32808.9880371
batch	4470	valid_loss	32802.2338867
batch	4500	valid_loss	32734.6777344
batch	4530	valid_loss	32678.2453613
batch	4560	valid_loss	32614.1037598
